AoA,AoS,dPb,pBar,temp,NONE1,NONE2,NONE3,NONE4,NONE5,NONE6,B1,B2,B3,B4,B5,B6,rpmWT,rho,q,V,Re,rpsM1,rpsM2,iM1,iM2,dPtQ,pInf,nu,J_M1,J_M2,B16zeroed1,B16zeroed2,B16zeroed3,B16zeroed4,B16zeroed5,B16zeroed6,FX,FY,FZ,MX,MY,MZ,CFX,CFY,CFZ,CMX,CMY,CMZ,CN,CT,CY,CL,CD,CYaw,CMroll,CMpitch,CMpitch25c,CMyaw,rudder
4,10,106.44,102000,286.23,431.6,-988.5,-26.5,596.8,139.3,512.5,431.6,-988.5,-26.5,596.8,139.3,512.5,0,1.24144496087541,248.312646260208,20.0009526609124,230135.630307021,36.55,49.21,0,0.78,0,102000,1.4338283371987e-05,2.69302011333202,2.00020087669753,427.6,-972.2,-24.6,599.3,130.7,493.1,3.93254527189894,-9.4288411621037,38.5283641648718,0.175660023874647,-2.43669537173754,-3.22466208327706,0.0729248717249853,-0.174847836380952,0.714467557328351,0.00233241623018234,-0.27388789696821,-0.0428171078085258,0.717814132167491,0.02290849299885,0.174847836380952,0.714467557328351,0.102178987218744,0.159528233783733,-0.0438478296794241,-0.294441988527483,-0.294441988527483,-0.0457714774656542,0
4,5,106.34,101999,286.24,439.5,-417.5,133.7,385.3,196,238.3,439.5,-417.5,133.7,385.3,196,238.3,0,1.24138941950017,248.079349635653,19.9920019469157,230016.095029802,39.08,49.21,0,0.77,0,101999,1.43393148004368e-05,2.51754954843735,1.99930575803559,436.1,-410.6,133.8,386.1,193.7,228.2,4.00949590877315,-3.73648288820987,36.6945633643723,0.152897994463007,-1.70478985333514,-1.49126843840447,0.0744217607966624,-0.0693542634920071,0.681101584681975,0.00203209089417158,-0.191800916601667,-0.0198197041438655,0.684633855056739,0.026729228318836,0.0693542634920071,0.681101584681975,0.0801831858756499,0.0626040657419737,-0.0160903943085348,-0.212776910789022,-0.212776910789022,-0.0208938335088218,0
4,5,106.49,101994,286.24,343.6,-382.5,155.7,403.2,111.5,201.8,343.6,-382.5,155.7,403.2,111.5,201.8,0,1.24132856648105,248.429294919543,20.0065878886038,230172.628572076,49.21,49.21,0.77,0.76,0,101994,1.4340017749375e-05,2.00076442922224,2.00076442922224,340.2,-375.6,155.8,404,109.2,191.7,3.12725790075057,-3.62825019137474,37.0646949182409,0.203346153721868,-1.87110302480935,-1.25358022853239,0.0579644437740373,-0.0672504509991342,0.687002637062514,0.00269876525957851,-0.210215790485163,-0.0166372400408667,0.689372528367478,0.00990036388789044,0.0672504509991342,0.687002637062514,0.0636051345724776,0.0619426085795351,-0.0150558200410111,-0.226553241019282,-0.226553241019282,-0.017646953475699,0
4,0,106.41,101992,286.23,307,-67.8,264.3,295.6,106.1,29.9,307,-67.8,264.3,295.6,106.1,29.9,0,1.24134759264318,248.242657175666,19.9989180274836,230094.171322624,49.21,49.21,0.75,0.77,0,101992,1.43394080314404e-05,1.99999740261122,1.99999740261122,312.9,-53.9,266.1,296.8,99.5,20.4,2.87548208156975,-0.608631789529187,37.0049027537631,-0.135636387335561,-1.73368455656274,-0.134229479679519,0.0533377922529021,-0.0112896116294691,0.68641005557634,-0.00180148959537518,-0.194923459408267,-0.00178280338916015,0.688458651484664,0.0053263190522075,0.0112896116294691,0.68641005557634,0.0533377922529021,0.0112896116294691,-0.00484699851051358,-0.20995687447782,-0.20995687447782,-0.002116570094044,0
4,0,106.43,101990,286.24,398.5,-98.7,244.1,277,188.5,61.8,398.5,-98.7,244.1,277,188.5,61.8,0,1.24127988406575,248.289316556106,20.0013429132346,230103.261418152,40.35,49.21,0,0.77,0,101990,1.43405801581503e-05,2.43944995477986,2.0002399039904,404.4,-84.8,245.9,278.2,181.9,52.3,3.71724937602481,-0.708156097221362,36.6505357778603,-0.21724304625151,-1.55195477740098,-0.34196433591524,0.0689389152121241,-0.0131332359507985,0.679709086714759,-0.00288482721530355,-0.174458233329711,-0.00454103383253692,0.682862285170524,0.0213568744184636,0.0131332359507985,0.679709086714759,0.0689389152121241,0.0131332359507985,-0.0062536579373899,-0.193888871214282,-0.193888871214282,-0.0049662052280667,0
4,-4.995,106.34,101988,286.24,366.8,657.4,447.7,84.5,165.9,-353.2,366.8,657.4,447.7,84.5,165.9,-353.2,0,1.2412555428581,248.079349635653,19.9930800447901,230003.691745136,40.56,49.21,0,0.79,0,101988,1.43408613790814e-05,2.42581710928765,1.99941357351569,370.85,642,447.75,82.95,167.25,-341.7,3.40717021575321,6.02834638076332,36.6738605396818,0.449599501617033,-1.41828616537049,2.23147022741551,0.0632417671846151,0.111894403325597,0.680717311770371,0.00597540246664976,-0.159567225244416,0.0296573564988334,0.683470641283777,0.0156032741325921,-0.111894403325597,0.680717311770371,0.072744106252548,-0.105963076671746,0.0353529993692248,-0.177392105046535,-0.177392105046535,0.0320512132412512,0
4,-10,106.38,101982,286.23,446.5,819.8,567.5,-0.9,145.8,-386.7,446.5,819.8,567.5,-0.9,145.8,-386.7,0,1.2412258823529,248.172668174417,19.9970789526474,230050.454211007,39.35,49.21,0,0.83,0,101982,1.43408141038877e-05,2.50091033335093,1.99981348541677,432.4,788.4,565.6,-2.8,150.8,-365.5,3.97272514118811,8.06896125400064,38.2283936683837,-0.693195135452601,-2.22813639605136,2.38984290646613,0.07371151713223,0.149714705794041,0.709304770574178,-0.00920944613271249,-0.25058684255753,0.0317502653828848,0.712718795312066,0.0240533599760833,-0.149714705794041,0.709304770574178,0.0985893593891882,-0.134640332382837,0.0306929442167397,-0.271362652459841,-0.271362652459841,0.0338139548895598,0
4,-10,106.48,101981,286.25,289.9,767.1,594.5,29.2,15.9,-330.7,289.9,767.1,594.5,29.2,15.9,-330.7,0,1.24112698896849,248.405965169167,20.0072730087791,230136.874315053,39.37,61.52,0,2.19,0,101981,1.43427367728215e-05,2.50091412792564,1.60047121613187,275.8,735.7,592.6,27.3,20.9,-309.5,2.53187760776031,7.91760229925335,38.5373997133817,-0.798323092726737,-2.3959540001533,2.02591896310727,0.046933340700335,0.146768360801345,0.714366644307538,-0.0105961629165427,-0.2692073396161,0.0268900744377515,0.715900387414234,-0.0030126846260673,-0.146768360801345,0.714366644307538,0.0717063761887694,-0.136388730529624,0.0288202220060572,-0.282435641005168,-0.282435641005168,0.028834968627577,0
4,-5,106.3,101981,286.23,273.5,165,377.3,199.8,71,-44.4,273.5,165,377.3,199.8,71,-44.4,0,1.24121371132387,247.986031244967,19.9896561962358,229962.806357615,40.48,61.52,0,2.2,0,101981,1.43409547262988e-05,2.43019496799184,1.5990619685356,277.55,149.6,377.35,198.25,72.35,-32.9,2.54947032973792,1.97917946188304,37.105081619286,-0.803898714130221,-1.74501389121105,0.217236928854544,0.047339484562223,0.036750118049545,0.688980537646338,-0.0106882369037626,-0.196400283983897,0.00288827400645286,0.690604451196598,-0.000836684827436505,-0.036750118049545,0.688980537646338,0.0503623273659548,-0.0324843648168907,-0.000530778731500323,-0.209743058225999,-0.209743058225999,0.00284421306348944,0
4,0,106.52,101979,286.23,230.5,-174.5,269.4,316.4,49.8,123,230.5,-174.5,269.4,316.4,49.8,123,0,1.24118936926581,248.499284226203,20.0105278692865,230198.401341729,40.32,61.52,0,2.21,0,101979,1.43412359793945e-05,2.44238609203226,1.60073158697563,236.4,-160.6,271.2,317.6,43.2,113.5,2.17160567149118,-1.16386879356061,37.2102784523367,-0.464061869401339,-1.72326550856823,-0.740233491136697,0.0402398734446128,-0.0215664996522382,0.689506808449553,-0.0061571920311196,-0.193551924822901,-0.00982144850356792,0.690634196194067,-0.00795571244465626,0.0215664996522382,0.689506808449553,0.0402398734446128,0.0215664996522382,-0.011520858629046,-0.204893652597661,-0.204893652597661,-0.0106011784211043,0
4,0,106.44,101981,286.23,-40.8,-74.8,331.5,359.5,-185.8,38.1,-40.8,-74.8,331.5,359.5,-185.8,38.1,0,1.24121371132387,248.312646260208,20.0028157550279,230114.195107905,61.52,61.52,2.19,2.22,0,101981,1.43409547262988e-05,1.6001146604769,1.6001146604769,-34.9,-60.9,333.3,360.7,-192.4,28.6,-0.324355760294765,-0.620661218782489,37.8704037844162,-0.192159416539685,-2.14947242763045,-0.186764014407603,-0.00601483278063675,-0.0115095025320662,0.702266381492509,-0.00255149539453192,-0.241603644683357,-0.00247985517028711,0.70013612235804,-0.0549878073522516,0.0115095025320662,0.702266381492509,-0.00601483278063675,0.0115095025320662,-0.00560837938994928,-0.239908346210249,-0.239908346210249,-0.00286503513739146,0
4,5,106.38,101978,286.24,-67.7,-762.6,155.6,549.9,-216.7,418.2,-67.7,-762.6,155.6,549.9,-216.7,418.2,0,1.24113383681985,248.172668174417,19.9978204551395,230035.668826106,61.52,61.52,2.18,2.2,0,101978,1.43422676491964e-05,1.59971506410593,1.59971506410593,-71.1,-755.7,155.7,550.7,-219,408.1,-0.656082033310554,-7.0257705467142,37.997033495124,-0.985266221600167,-2.14292988666495,-2.66594083175103,-0.0121732061292456,-0.130358931870721,0.705012022204012,-0.013089757458098,-0.241004112258646,-0.0354183652298418,0.702445488417967,-0.0613227054271048,0.130358931870721,0.705012022204012,-0.000765353873748367,0.13092384160033,-0.0472397613042521,-0.237573057977275,-0.237573057977275,-0.0386273670413615,0
4,5,106.42,101977,286.25,198.1,-864.7,98,503.5,14,519.9,198.1,-864.7,98,503.5,14,519.9,0,1.24107830825389,248.265986861259,20.0020273764988,230067.511296185,38.89,61.52,0,2.19,0,101977,1.4343299359945e-05,2.53111787341072,1.60005159455369,194.7,-857.8,98.1,504.3,11.7,509.8,1.78916676747995,-7.4004022381408,37.2894334948281,-1.2057706822541,-1.72749334918037,-3.32844968309897,0.0331844313461599,-0.137258384444201,0.691622865033004,-0.016013248803973,-0.194209111370823,-0.0442035070941762,0.692252935408539,-0.0151415764862671,0.137258384444201,0.691622865033004,0.045021011010812,0.133843861090319,-0.0514832048180546,-0.203562241847399,-0.203562241847399,-0.0476871163977094,0
4,10,106.39,101975,286.25,268.3,-1052.6,4.9,635.9,-8.9,573.9,268.3,-1052.6,4.9,635.9,-8.9,573.9,0,1.24105396789659,248.195997832245,19.9994038950781,230032.823909704,36.46,61.52,0,2.19,0,101975,1.43435806700574e-05,2.69945867425068,1.59984173054583,264.3,-1036.3,6.8,638.4,-17.5,554.5,2.43006801855778,-9.69555922955809,39.2098964228918,0.0243184341268147,-2.77611580427136,-3.62384987425375,0.0450842071660683,-0.17987833984816,0.7274475775122,0.000323052263620858,-0.312185872231698,-0.0481401433494836,0.728820467088222,-0.00576979353762131,0.17987833984816,0.7274475775122,0.0756348226719383,0.169316793265487,-0.04689539124034,-0.324892989845333,-0.324892989845333,-0.0512941335075767,0
4,10,106.24,101977,286.25,-2.4,-960.7,59.4,684,-240.3,475.3,-2.4,-960.7,59.4,684,-240.3,475.3,0,1.24107830825389,247.846053936584,19.9851038646725,229872.853516002,61.52,61.52,2.06,2.2,0,101977,1.4343299359945e-05,1.59869780718137,1.59869780718137,-6.4,-944.4,61.3,686.5,-248.9,455.9,-0.0602137650621682,-9.44539962932606,39.8146455846341,0.191536314751496,-3.15312067055468,-2.98167655627666,-0.00111870236481617,-0.175484640282024,0.739710232765905,0.00254800968252447,-0.355082299770785,-0.0396652757228108,0.737830299084455,-0.052715554692277,0.175484640282024,0.739710232765905,0.0293708812313261,0.173012894911297,-0.0440316699471682,-0.354766990188607,-0.354766990188607,-0.0426401471332995,0
