AoA,AoS,dPb,pBar,temp,NONE1,NONE2,NONE3,NONE4,NONE5,NONE6,B1,B2,B3,B4,B5,B6,rpmWT,rho,q,V,Re,rpsM1,rpsM2,iM1,iM2,dPtQ,pInf,nu,J_M1,J_M2,B16zeroed1,B16zeroed2,B16zeroed3,B16zeroed4,B16zeroed5,B16zeroed6,FX,FY,FZ,MX,MY,MZ,CFX,CFY,CFZ,CMX,CMY,CMZ,CN,CT,CY,CL,CD,CYaw,CMroll,CMpitch,CMpitch25c,CMyaw,rudder,CT_actual,Thrust,Drag_unc,CD_unc,CD_0,epsilon
4,10,106.44,102000,286.23,431.6,-988.5,-26.5,596.8,139.3,512.5,431.6,-988.5,-26.5,596.8,139.3,512.5,0,1.24144496087541,251.971708322149,20.1477778213529,230135.630307021,36.55,49.21,0,0.78,0,102000,1.4338283371987e-05,2.67339496589812,1.98562458857095,427.6,-972.2,-24.6,599.3,130.7,493.1,3.93254527189894,-9.4288411621037,38.5283641648718,0.175660023874647,-2.43669537173754,-3.22466208327706,0.0729248717249853,-0.174847836380952,0.714467557328351,0.00233241623018234,-0.269910574197751,-0.0421953298485021,0.717814132167491,0.02290849299885,0.111307639765896,0.695518599972125,0.10217841903121,0.157211609778866,-0.0249478296794241,-0.312141988527483,-0.294441988527483,-0.0256928748251889,0,0.119928849510002,0.61468509440495,4.26967161848757,0.0171947409155044,0.0689389152121241,0.0073409083522043
4,5,106.34,101999,286.24,439.5,-417.5,133.7,385.3,196,238.3,439.5,-417.5,133.7,385.3,196,238.3,0,1.24138941950017,251.734973907208,20.1387614009851,230016.095029802,39.08,49.21,0,0.77,0,101999,1.43393148004368e-05,2.49920312732611,1.9847359930076,436.1,-410.6,133.8,386.1,193.7,228.2,4.00949590877315,-3.73648288820987,36.6945633643723,0.152897994463007,-1.70478985333514,-1.49126843840447,0.0744217607966624,-0.0693542634920071,0.681101584681975,0.00203209089417158,-0.189015637801694,-0.0195318879918275,0.684633855056739,0.026729228318836,0.0553388071198292,0.662637158567305,0.0803703761373927,0.0616949471611414,-0.0077903943085348,-0.214276910789022,-0.212776910789022,-0.0121153059269457,0,0.119928849510002,0.614657593825738,3.89552979918893,0.0157027572222766,0.0689389152121241,0.0073409083522043
4,5,106.49,101994,286.24,343.6,-382.5,155.7,403.2,111.5,201.8,343.6,-382.5,155.7,403.2,111.5,201.8,0,1.24132856648105,251.889510159155,20.1454356630445,230172.628572076,49.21,49.21,0.77,0.76,0,101994,1.4340017749375e-05,1.98697462130623,1.98697462130623,340.2,-375.6,155.8,404,109.2,191.7,3.12725790075057,-3.62825019137474,37.0646949182409,0.203346153721868,-1.87110302480935,-1.25358022853239,0.0579644437740373,-0.0672504509991342,0.687002637062514,0.00269876525957851,-0.207328048628092,-0.016408693677431,0.689372528367478,0.00990036388789044,0.0533079580142658,0.668984769397641,0.064078503734861,0.0610917007427904,-0.0067558200410111,-0.228053241019282,-0.226553241019282,-0.00892267515117134,0,0.119928849510002,1.22925492651227,2.89933685483967,0.0116706721555469,0.0533377922529021,0.00694010269086545
4,0,106.41,101992,286.23,307,-67.8,264.3,295.6,106.1,29.9,307,-67.8,264.3,295.6,106.1,29.9,0,1.24134759264318,251.700272855649,20.1377125723005,230094.171322624,49.21,49.21,0.75,0.77,0,101992,1.43394080314404e-05,1.98621288124943,1.98621288124943,312.9,-53.9,266.1,296.8,99.5,20.4,2.87548208156975,-0.608631789529187,37.0049027537631,-0.135636387335561,-1.73368455656274,-0.134229479679519,0.0533377922529021,-0.0112896116294691,0.68641005557634,-0.00180148959537518,-0.192245788851934,-0.00175831295503089,0.688458651484664,0.0053263190522075,0.0126139202755852,0.668400328224606,0.0520849308099488,0.0111345258294098,-0.00444699851051358,-0.20375687447782,-0.20995687447782,-0.00583529395835773,0,0.119928849510002,1.22927376761862,2.07197512507086,0.00834657165148154,0.0533377922529021,0.00694010269086545
4,0,106.43,101990,286.24,398.5,-98.7,244.1,277,188.5,61.8,398.5,-98.7,244.1,277,188.5,61.8,0,1.24127988406575,251.948034838395,20.1481709384817,230103.261418152,40.35,49.21,0,0.77,0,101990,1.43405801581503e-05,2.4216726775946,1.98566333145585,404.4,-84.8,245.9,278.2,181.9,52.3,3.71724937602481,-0.708156097221362,36.6505357778603,-0.21724304625151,-1.55195477740098,-0.34196433591524,0.0689389152121241,-0.0131332359507985,0.679709086714759,-0.00288482721530355,-0.171924800083492,-0.00447509022033827,0.682862285170524,0.0213568744184636,0.0144207362266527,0.661264882062717,0.0674236090407965,0.0129425188034724,-0.0058536579373899,-0.187688871214282,-0.193888871214282,-0.00863890486886844,0,0.119928849510002,0.61460335880045,3.31551781118355,0.0133534453160184,0.0689389152121241,0.0073409083522043
4,-4.995,106.34,101988,286.24,366.8,657.4,447.7,84.5,165.9,-353.2,366.8,657.4,447.7,84.5,165.9,-353.2,0,1.2412555428581,251.734973907208,20.1398474130772,230003.691745136,40.56,49.21,0,0.79,0,101988,1.43408613790814e-05,2.40813918026597,1.98484302279186,370.85,642,447.75,82.95,167.25,-341.7,3.40717021575321,6.02834638076332,36.6738605396818,0.449599501617033,-1.41828616537049,2.23147022741551,0.0632417671846151,0.111894403325597,0.680717311770371,0.00597540246664976,-0.157250035016557,0.0292266807346972,0.683470641283777,0.0156032741325921,-0.07390535575794,0.662258465958512,0.0698293546825375,-0.104424310766645,0.0248529993692248,-0.173892105046535,-0.177392105046535,0.0148326437688133,0,0.119928849510002,0.614591306572608,3.29514392612235,0.0132826207863002,0.0689389152121241,0.0073409083522043
4,-10,106.38,101982,286.23,446.5,819.8,567.5,-0.9,145.8,-386.7,446.5,819.8,567.5,-0.9,145.8,-386.7,0,1.2412258823529,251.82966756049,20.1438756765506,230050.454211007,39.35,49.21,0,0.83,0,101982,1.43408141038877e-05,2.4826851690575,1.98524002037011,432.4,788.4,565.6,-2.8,150.8,-365.5,3.97272514118811,8.06896125400064,38.2283936683837,-0.693195135452601,-2.22813639605136,2.38984290646613,0.07371151713223,0.149714705794041,0.709304770574178,-0.00920944613271249,-0.246947891125524,0.0312891969863863,0.712718795312066,0.0240533599760833,-0.136601782142511,0.69043078575067,0.0770756167012183,-0.132685123460733,0.0245929442167397,-0.231462652459841,-0.271362652459841,0.0255376397475042,0,0.119928849510002,0.614576620564759,4.30979199489205,0.0173661025067559,0.0689389152121241,0.0073409083522043
4,-10,106.48,101981,286.25,289.9,767.1,594.5,29.2,15.9,-330.7,289.9,767.1,594.5,29.2,15.9,-330.7,0,1.24112698896849,251.268056177517,20.1222030930874,230136.874315053,39.37,61.52,0,2.19,0,101981,1.43427367728215e-05,2.48662989323023,1.59132995605452,275.8,735.7,592.6,27.3,20.9,-309.5,2.53187760776031,7.91760229925335,38.5373997133817,-0.798323092726737,-2.3959540001533,2.02591896310727,0.046933340700335,0.146768360801345,0.714366644307538,-0.0105961629165427,-0.266140909613741,0.0265837806675327,0.715900387414234,-0.0030126846260673,-0.134123018343278,0.697628686007983,0.050720810259972,-0.134835182636479,0.0227202220060572,-0.242535641005168,-0.282435641005168,0.0206965070165764,0,0.269728700618753,2.16008503405094,3.71658435025149,0.0149617355111438,0.0402398734446128,0.00574441525628736
4,-5,106.3,101981,286.23,273.5,165,377.3,199.8,71,-44.4,273.5,165,377.3,199.8,71,-44.4,0,1.24121371132387,250.843283846527,20.1044850822574,229962.806357615,40.48,61.52,0,2.2,0,101981,1.43409547262988e-05,2.41631465323381,1.58992875752447,277.55,149.6,377.35,198.25,72.35,-32.9,2.54947032973792,1.97917946188304,37.105081619286,-0.803898714130221,-1.74501389121105,0.217236928854544,0.047339484562223,0.036750118049545,0.688980537646338,-0.0106882369037626,-0.194163169185546,0.00285537486603176,0.690604451196598,-0.000836684827436505,0.000148174706847372,0.672531742039078,0.0479021084767619,-0.0321143487875204,-0.0110307787315003,-0.206243058225999,-0.209743058225999,-0.0139945441939055,0,0.269728700618753,2.16023596756833,2.14893238555453,0.00866553803359901,0.0402398734446128,0.00574441525628736
4,0,106.52,101979,286.23,230.5,-174.5,269.4,316.4,49.8,123,230.5,-174.5,269.4,316.4,49.8,123,0,1.24118936926581,251.362450440754,20.1254766508652,230198.401341729,40.32,61.52,0,2.21,0,101979,1.43412359793945e-05,2.42843614638405,1.59158883976276,236.4,-160.6,271.2,317.6,43.2,113.5,2.17160567149118,-1.16386879356061,37.2102784523367,-0.464061869401339,-1.72326550856823,-0.740233491136697,0.0402398734446128,-0.0215664996522382,0.689506808449553,-0.0061571920311196,-0.191347254511395,-0.00970957642607958,0.690634196194067,-0.00795571244465626,0.0228037586486538,0.673052018308181,0.0392435263309048,0.0213208445312679,-0.011120858629046,-0.198693652597661,-0.204893652597661,-0.0142371405250991,0,0.269728700618753,2.16019360210873,0.759608903642424,0.00305678507689773,0.0402398734446128,0.00574441525628736
